date	confirmed	deaths	recovered	active
2020-04-21	10683	237	8228	2218
2020-04-22	10694	238	8292	2164
2020-04-23	10702	240	8426	2036
2020-04-24	10708	240	8516	1952
2020-04-25	10718	240	8650	1828
2020-04-26	10728	242	8732	1754
2020-04-27	10738	243	8779	1716
2020-04-28	10752	244	8869	1639
2020-04-29	10761	246	8937	1578
2020-04-30	10765	247	9074	1444
2020-05-01	10774	248	9087	1439
2020-05-02	10780	250	9138	1392
2020-05-03	10793	250	9198	1345
2020-05-04	10801	252	9232	1317
2020-05-05	10804	254	9298	1252
2020-05-06	10806	255	9348	1203
2020-05-07	10810	256	9434	1120
2020-05-08	10822	256	9499	1067
2020-05-09	10840	256	9583	1001
2020-05-10	10874	256	9625	993
2020-05-11	10909	256	9647	1006
2020-05-12	10936	258	9685	993
2020-05-13	10962	259	9710	993
2020-05-14	10991	260	9777	954
2020-05-15	11018	260	9836	922
2020-05-16	11037	262	9866	909
2020-05-17	11050	262	9903	885
2020-05-18	11065	263	9919	883
2020-05-19	11078	263	9953	862
2020-05-20	11110	263	10081	766
2020-05-21	11122	264	10150	708
2020-05-22	11142	264	10177	701
2020-05-23	11165	266	10209	690
2020-05-24	11190	266	10228	696
2020-05-25	11206	267	10241	698
2020-05-26	11225	269	10290	666
2020-05-27	11265	269	10310	686
2020-05-28	11344	269	10355	720
2020-05-29	11402	269	10378	755
2020-05-30	11441	269	10417	755
2020-05-31	11468	270	10424	774
2020-06-01	11503	271	10441	791
2020-06-02	11541	272	10465	804
2020-06-03	11590	273	10486	831
2020-06-04	11629	273	10518	838
2020-06-05	11668	273	10525	870
2020-06-06	11719	273	10550	896
2020-06-07	11776	273	10571	932
2020-06-08	11813	273	10582	958
2020-06-09	11851	274	10608	969
2020-06-10	11901	276	10630	995
2020-06-11	11946	276	10673	997
2020-06-12	12002	277	10688	1037
2020-06-13	12050	277	10710	1063
2020-06-14	12084	277	10737	1070
2020-06-15	12121	277	10749	1095
2020-06-16	12155	278	10779	1098
2020-06-17	12198	279	10793	1126
2020-06-18	12257	280	10819	1158
2020-06-19	12306	280	10854	1172
2020-06-20	12373	280	10875	1218
2020-06-21	12421	280	10887	1254
2020-06-22	12438	280	10900	1258
2020-06-23	12484	281	10927	1276
2020-06-24	12535	281	10949	1305
2020-06-25	12563	282	10993	1288
2020-06-26	12602	282	11191	1129
2020-06-27	12653	282	11336	1035
2020-06-28	12715	282	11383	1050
2020-06-29	12757	282	11448	1027
2020-06-30	12799	282	11556	961
2020-07-01	12850	282	11632	936
2020-07-02	12904	282	11703	919
2020-07-03	12965	282	11778	905
2020-07-04	13028	283	11830	915
2020-07-05	13089	283	11851	955
2020-07-06	13137	284	11867	986
2020-07-07	13181	285	11933	963
2020-07-08	13243	285	11989	969
2020-07-09	13293	287	12038	968
2020-07-10	13338	288	12084	966
2020-07-11	13373	288	12163	922
2020-07-12	13417	289	12197	931
2020-07-13	13479	289	12223	967
2020-07-14	13512	289	12301	922
2020-07-15	13551	289	12367	895
2020-07-16	13612	291	12415	906
2020-07-17	13672	293	12479	900
2020-07-18	13711	294	12538	879
2020-07-19	13745	295	12575	875
2020-07-20	13771	296	12591	884
2020-07-21	13816	296	12662	858
2020-07-22	13879	297	12717	865
2020-07-23	13938	297	12777	864
2020-07-24	13979	298	12836	845
2020-07-25	14092	298	12885	909
2020-07-26	14150	298	12909	943
2020-07-27	14175	299	12924	952
2020-07-28	14203	300	13026	877
2020-07-29	14251	300	13088	863
2020-07-30	14269	300	13151	818
2020-07-31	14305	301	13202	802
2020-08-01	14336	301	13252	783
2020-08-02	14366	301	13278	787
2020-08-03	14389	301	13299	789
2020-08-04	14423	301	13371	751
2020-08-05	14456	302	13425	729
2020-08-06	14499	302	13520	677
2020-08-07	14519	303	13562	654
2020-08-08	14562	304	13648	610
2020-08-09	14598	305	13661	632
2020-08-10	14626	305	13677	644
2020-08-11	14660	305	13748	607
2020-08-12	14714	305	13805	604
2020-08-13	14770	305	13836	629
2020-08-14	14873	305	13882	686
2020-08-15	15039	305	13920	814
2020-08-16	15318	305	13929	1084
2020-08-17	15515	305	13936	1274
2020-08-18	15761	306	13953	1502
2020-08-19	16058	306	14025	1727
2020-08-20	16346	307	14082	1957
2020-08-21	16670	309	14139	2222
2020-08-22	17002	309	14188	2505
2020-08-23	17398	309	14219	2870
2020-08-24	17664	309	14238	3117
2020-08-25	17944	310	14305	3329
2020-08-26	18264	312	14387	3565
2020-08-27	18705	313	14480	3912
2020-08-28	19076	316	14570	4190
2020-08-29	19399	321	14784	4294
2020-08-30	19698	323	14922	4453
2020-08-31	19946	324	14992	4630
2020-09-01	20181	324	15217	4640
2020-09-02	20448	326	15375	4747
2020-09-03	20643	329	15548	4766
2020-09-04	20841	331	15802	4708
2020-09-05	21009	333	16028	4648
2020-09-06	21176	334	16165	4677
2020-09-07	21295	336	16316	4643
2020-09-08	21431	341	16655	4435
2020-09-09	21587	344	17042	4201
2020-09-10	21742	346	17379	4017
2020-09-11	21918	350	17635	3933
2020-09-12	22054	355	18048	3651
2020-09-13	22175	358	18245	3572
2020-09-14	22284	363	18508	3413
2020-09-15	22390	367	18897	3126
2020-09-16	22503	367	19329	2807
2020-09-17	22656	372	19562	2722
2020-09-18	22782	377	19790	2615
2020-09-19	22892	378	19989	2525
2020-09-20	22974	383	20177	2414
2020-09-21	23044	385	20267	2392
2020-09-22	23105	388	20460	2257
2020-09-23	23215	388	20669	2158
2020-09-24	23340	393	20851	2096
2020-09-25	23454	395	20997	2062
2020-09-26	23515	399	21186	1930
2020-09-27	23610	401	21268	1941
2020-09-28	23660	406	21312	1942
2020-09-29	23698	407	21490	1801
2020-09-30	23811	413	21611	1787
2020-10-01	23888	415	21686	1787
2020-10-02	23951	416	21753	1782
2020-10-03	24026	420	21807	1799
2020-10-04	24090	421	21865	1804
2020-10-05	24163	422	21906	1835
2020-10-06	24238	422	22103	1713
2020-10-07	24352	425	22354	1573
2020-10-08	24421	427	22483	1511
2020-10-09	24475	428	22589	1458
2020-10-10	24547	430	22644	1473
2020-10-11	24605	432	22713	1460
2020-10-12	24703	433	22749	1521
2020-10-13	24794	434	22884	1476
2020-10-14	24878	438	23051	1389
2020-10-15	24988	439	23103	1446
2020-10-16	25035	441	23201	1393
2020-10-17	25108	443	23279	1386
2020-10-18	25199	444	23333	1422
2020-10-19	25275	444	23389	1442
2020-10-20	25333	447	23487	1399
2020-10-21	25422	450	23605	1367
2020-10-22	25543	453	23668	1422
2020-10-23	25698	455	23738	1505
2020-10-24	25775	457	23855	1463
2020-10-25	25836	457	23890	1489
2020-10-26	25955	457	23926	1572
2020-10-27	26043	460	24002	1581
2020-10-28	26146	461	24094	1591
2020-10-29	26271	462	24189	1620
2020-10-30	26384	463	24248	1673
2020-10-31	26511	464	24332	1715
2020-11-01	26635	466	24378	1791
2020-11-02	26732	468	24416	1848
2020-11-03	26807	472	24531	1804
2020-11-04	26924	474	24637	1813
2020-11-05	27049	475	24756	1818
2020-11-06	27194	476	24842	1876
2020-11-07	27283	477	24931	1875
2020-11-08	27426	478	24989	1959
2020-11-09	27552	480	25050	2022
2020-11-10	27652	485	25181	1986
2020-11-11	27797	487	25287	2023
2020-11-12	27940	487	25425	2028
2020-11-13	28131	488	25558	2085
2020-11-14	28336	492	25657	2187
2020-11-15	28544	493	25712	2339
2020-11-16	28766	494	25780	2492
2020-11-17	28996	494	25881	2621
2020-11-18	29281	496	25994	2791
2020-11-19	29606	498	26119	2989
2020-11-20	29954	501	26284	3169
2020-11-21	30340	503	26386	3451
2020-11-22	30670	505	26487	3678
2020-11-23	30941	509	26560	3872
2020-11-24	31290	510	26743	4037
2020-11-25	31672	513	26846	4313
2020-11-26	32253	515	26971	4767
2020-11-27	32808	516	27124	5168
2020-11-28	33311	522	27370	5419
2020-11-29	33761	523	27563	5675
2020-11-30	34199	526	27646	6027
2020-12-01	34650	526	27906	6218
2020-12-02	35161	526	28086	6549
2020-12-03	35701	529	28373	6799
2020-12-04	36329	536	28632	7161
2020-12-05	36906	540	28938	7428
2020-12-06	37537	545	29149	7843
2020-12-07	38152	549	29322	8281
2020-12-08	38739	552	29671	8516
2020-12-09	39409	556	30198	8655
2020-12-10	40089	564	30658	8867
2020-12-11	40778	572	31178	9028
2020-12-12	41728	578	31514	9636
2020-12-13	42758	580	31835	10343
2020-12-14	43476	587	32123	10766
2020-12-15	44356	600	32580	11176
2020-12-16	45434	612	32968	11854
2020-12-17	46448	634	33631	12183
2020-12-18	47512	645	34003	12864
2020-12-19	48557	659	34355	13543
2020-12-20	49654	674	34743	14237
2020-12-21	50578	698	35176	14704
2020-12-22	51444	722	35949	14773
2020-12-23	52534	739	36747	15048
2020-12-24	53519	756	37446	15317
2020-12-25	54759	773	38069	15917
2020-12-26	55890	793	38553	16544
2020-12-27	56860	808	39061	16991
2020-12-28	57666	819	39289	17558
2020-12-29	58710	859	40724	17127
2020-12-30	59760	879	41456	17425
2020-12-31	60727	900	42292	17535
2021-01-01	61754	917	42974	17863
2021-01-02	62574	942	43599	18033
2021-01-03	63231	962	44528	17741
2021-01-04	64251	981	45261	18009
2021-01-05	64965	1007	46193	17765
2021-01-06	65803	1027	47016	17760
2021-01-07	66672	1046	47670	17956
2021-01-08	67346	1081	48390	17875
2021-01-09	67987	1100	49345	17542
2021-01-10	68644	1125	50430	17089
2021-01-11	69095	1140	52573	15382
2021-01-12	69632	1165	53590	14877
2021-01-13	70193	1185	54657	14351
2021-01-14	70717	1195	55793	13729
2021-01-15	71229	1217	56557	13455
2021-01-16	71809	1236	57575	12998
2021-01-17	72329	1249	58274	12806
2021-01-18	72718	1264	58744	12710
2021-01-19	73104	1283	59489	12332
2021-01-20	73508	1300	60201	12007
2021-01-21	73908	1316	60867	11725
2021-01-22	74254	1328	61436	11490
2021-01-23	74685	1337	62065	11283
2021-01-24	75077	1349	62551	11177
2021-01-25	75514	1360	62977	11177
2021-01-26	75863	1371	64814	9678
2021-01-27	76422	1378	65499	9545
2021-01-28	76919	1386	66037	9496
2021-01-29	77388	1399	66524	9465
2021-01-30	77844	1414	67142	9288
2021-01-31	78198	1420	67899	8879
2021-02-01	78503	1425	68351	8727
2021-02-02	78839	1435	68817	8587
2021-02-03	79306	1441	69341	8524
2021-02-04	79757	1448	69746	8563
2021-02-05	80127	1459	70159	8509
2021-02-06	80517	1464	70547	8506
2021-02-07	80888	1471	70907	8510
2021-02-08	81176	1474	71260	8442
2021-02-09	81479	1482	71718	8279
2021-02-10	81923	1486	72268	8169
2021-02-11	82427	1496	72680	8251
2021-02-12	82830	1507	72978	8345
2021-02-13	83192	1514	73269	8409
2021-02-14	83518	1522	73601	8395
2021-02-15	83861	1527	73836	8498
2021-02-16	84318	1534	74593	8191
2021-02-17	84939	1538	75402	7999
2021-02-18	85560	1544	75938	8078
2021-02-19	86121	1550	76552	8019
2021-02-20	86569	1553	77122	7894
2021-02-21	86985	1557	77555	7873
2021-02-22	87317	1562	77926	7829
2021-02-23	87673	1573	78433	7667
2021-02-24	88113	1576	79089	7448
2021-02-25	88508	1581	79526	7401
2021-02-26	88895	1585	79919	7391
2021-02-27	89310	1595	80372	7343
2021-02-28	89665	1603	80736	7326
2021-03-01	90020	1605	81109	7306
2021-03-02	90364	1606	81377	7381
2021-03-03	90808	1612	81739	7457
2021-03-04	91232	1619	82201	7412
2021-03-05	91630	1627	82599	7404
2021-03-06	92048	1632	82952	7464
2021-03-07	92464	1634	83259	7571
2021-03-08	92810	1642	83513	7655
2021-03-09	93256	1645	83939	7672
2021-03-10	93726	1648	84351	7727
2021-03-11	94191	1652	84714	7825
2021-03-12	94679	1662	85782	7235
2021-03-13	95169	1667	86664	6838
2021-03-14	95628	1669	87447	6512
2021-03-15	96007	1675	87793	6539
2021-03-16	96370	1678	88294	6398
2021-03-17	96839	1686	88853	6300
2021-03-18	97284	1688	89217	6379
2021-03-19	97747	1690	89562	6495
2021-03-20	98194	1693	89988	6513
2021-03-21	98650	1696	90367	6587
2021-03-22	99065	1697	90650	6718
2021-03-23	99411	1704	91118	6589
2021-03-24	99839	1707	91599	6533
2021-03-25	100269	1709	92107	6453
2021-03-26	100758	1716	92669	6373
2021-03-27	101263	1721	93514	6028
2021-03-28	101745	1722	93894	6129
2021-03-29	102127	1726	94163	6238
2021-03-30	102574	1729	94602	6243
2021-03-31	103080	1731	95069	6280
2021-04-01	103631	1735	95478	6418
2021-04-02	104188	1737	95900	6551
2021-04-03	104731	1740	96235	6756
2021-04-04	105274	1744	96628	6902
2021-04-05	105747	1748	96939	7060
2021-04-06	106224	1752	97402	7070
2021-04-07	106892	1756	97967	7169
2021-04-08	107592	1758	98399	7435
2021-04-09	108263	1764	98825	7674
2021-04-10	108940	1765	99340	7835
2021-04-11	109554	1768	100148	7638
2021-04-12	110141	1770	100843	7528
2021-04-13	110683	1775	101371	7537
2021-04-14	111414	1782	102022	7610
2021-04-15	112112	1788	102552	7772
2021-04-16	112785	1790	103101	7894
2021-04-17	113443	1794	103633	8016
2021-04-18	114114	1797	104045	8272
2021-04-19	114646	1801	104513	8332
2021-04-20	115195	1802	105266	8127
2021-04-21	115926	1806	105916	8204
2021-04-22	116661	1808	106498	8355
